vertex,is_boundary,flattened,candidate,K_orig,K_final,K_rounded
2337,0,1,0,-0.003935130240429352,-5.8014723451904615e-06,
2338,0,1,0,-0.0026588287046704906,-4.0792971471859119e-06,
2339,0,1,0,-0.0013417747025421534,-1.9154377461916283e-06,
2340,0,1,0,-1.2514433933574765e-12,4.5350108202057982e-07,
2341,0,1,0,0.0013419215922434446,2.7518398333370442e-06,
2342,0,1,0,0.0026601900514631183,4.7201054531598174e-06,
2343,0,1,0,0.0039353001523245723,6.152682392901454e-06,
2344,0,1,0,0.0051364329499046235,6.9076537911882951e-06,
2345,0,1,0,0.0062545183771129942,6.9580537980229451e-06,
2346,0,1,0,0.0072715714796540709,6.3612451572936379e-06,
2347,0,1,0,0.0081390741882225726,5.250660660038875e-06,
2348,0,1,0,0.0089056221037466798,3.8553376953132101e-06,
2349,0,1,0,0.0094783463806971113,2.411488184250743e-06,
2350,0,1,0,0.0099287268024372821,1.1630201388612704e-06,
2351,0,1,0,0.010185263838948799,3.2490661183715019e-07,
2352,0,1,0,0.010279753832227456,2.0393907895766006e-08,
2353,0,1,0,0.010175243294730407,3.2365331215089554e-07,
2354,0,1,0,0.0099243379986617697,1.1619950752717045e-06,
2355,0,1,0,0.0094866468160565987,2.4004365011265349e-06,
2356,0,1,0,0.0089014319361506722,3.8451186306076579e-06,
2357,0,1,0,0.0081528135252870726,5.2395341336719525e-06,
2358,0,1,0,0.0072641628762415422,6.3559047287498061e-06,
2359,0,1,0,0.0062534815195984805,6.9547388346080652e-06,
2360,0,1,0,0.0051400891745192467,6.909739422411576e-06,
2361,0,1,0,0.003935463016248697,6.1524956294078947e-06,
2362,0,1,0,0.0026582298110717772,4.717591992609016e-06,
