vertex,u
605,0.2049662435543109
606,0.17843286973886718
607,0.14901481998166632
608,0.11746098212152144
609,0.084509205062159212
610,0.050858217020027026
611,0.017161031364389741
612,-0.015994992339069748
613,-0.048086503747067869
614,-0.078656072373490399
615,-0.10730902615079088
616,-0.13371327412497014
617,-0.15758549349901541
618,-0.17869262842611686
619,-0.19684292892754618
620,-0.21188949851488079
621,-0.22370573192601503
622,-0.23220989784740514
623,-0.23733451465432606
624,-0.23904891104317769
625,-0.23733711836519258
626,-0.23221163954789648
627,-0.22370894701288335
628,-0.21189040254208971
629,-0.19684674602343036
630,-0.17869423037465601
631,-0.15758635296576959
632,-0.13371239739403268
633,-0.10730794892051432
634,-0.078654055102709133
635,-0.048084538910603374
636,-0.015993823507719173
637,0.017161489711028172
638,0.050858747235430574
639,0.084508694097325615
640,0.11746195241591725
641,0.14901401303699111
642,0.1784340658002021
643,0.20496614997237256
644,0.22788603882993289
645,0.24651678658696199
646,0.26027866412345424
647,0.26872510389547771
648,0.27157251475545163
649,0.26872510389227722
650,0.26027866411774297
651,0.24651678658231116
652,0.22788603883988504
653,0.20496614998378704
654,0.17843406581001356
655,0.14901401304494
656,0.11746195242236321
657,0.084508694102656171
658,0.050858747239941562
659,0.017161489714926342
660,-0.015993823504291908
661,-0.048084538907548977
662,-0.078654055099961484
663,-0.10730794891803279
664,-0.13371239739179427
665,-0.15758635296376564
666,-0.17869423037288956
667,-0.19684674602191449
668,-0.21189040254084326
669,-0.22370894701192656
670,-0.23221163954724716
671,-0.23733711836486429
672,-0.23904682194339316
673,-0.23733540529462602
674,-0.23220871078986971
675,-0.22370822528360648
676,-0.21188960840159429
677,-0.19684553285580189
678,-0.17869199605036004
679,-0.157587073815003
680,-0.13371412898115925
681,-0.10731050498269125
682,-0.078656326033456861
683,-0.048084764545498204
684,-0.015993124185120649
685,0.017163041781315839
686,0.050857942379423232
687,0.084509139084037996
688,0.11746188507468118
689,0.14901420655124456
690,0.17843297144888137
691,0.20496590120392399
692,0.22788501854318724
693,0.24651726130970636
694,0.26027861195328927
695,0.26872488667728767
696,0.27157203387820178
697,0.26872488666935124
698,0.26027861193077578
699,0.24651726125338708
700,0.22788501860555221
701,0.20496590123336858
702,0.17843297146466608
703,0.14901420656102424
704,0.11746188508157793
705,0.084509139089367413
706,0.050857942383768472
707,0.0171630417849611
708,-0.015993124182009294
709,-0.048084764542798052
710,-0.078656326031068105
711,-0.1073105049805603
712,-0.13371412897923973
