face,alpha_mod,dirx,diry,dirz,cx,cy,cz
6733,0.136509,0.136081,0.19431,0.971455,0.02024,0.196587,0.764545
6734,1.49935,0.997369,0.0348677,0.0635515,0.0195687,0.190381,0.739209
6735,0.137354,0.136902,0.440284,0.88736,0.0189207,0.180919,0.714898
6736,1.35786,0.977183,0.135142,0.163862,0.0183074,0.168359,0.692029
6737,1.5493,0.999433,0.0336503,-0.000915117,0.017738,0.152921,0.670993
6738,0.176595,0.175602,0.743606,0.645146,0.017224,0.134865,0.652151
6739,1.40111,0.985112,0.1583,0.0670466,0.0167727,0.114501,0.635825
6740,0.0313004,0.0312759,0.896909,0.441108,0.0163927,0.0921786,0.622294
6741,0.950214,-0.570794,0.770436,0.283941,0.01587,0.0600213,0.608994
6742,0.694998,0.639908,0.75811,0.125646,0.01587,0.0432113,0.60449
6743,0.370604,-0.93046,0.361403,0.0602658,0.015692,0.00870199,0.599954
6744,0.264149,0.260887,0.962577,-0.073377,0.015692,-0.00870199,0.599954
6745,1.26037,-0.312524,0.933932,-0.173494,0.01587,-0.0432113,0.60449
6746,0.936821,0.805121,0.551288,-0.218773,0.01587,-0.0600213,0.608994
6747,1.1198,0.899457,0.37689,-0.221205,0.01609,-0.0843573,0.618449
6748,0.959385,-0.59144,0.681005,-0.431776,0.0167727,-0.114501,0.635825
6749,0.752958,-0.746797,0.514308,-0.421641,0.017224,-0.134865,0.652151
6750,0.972849,-0.586916,0.545144,-0.598621,0.017738,-0.152921,0.670993
6751,1.01512,-0.554841,0.472227,-0.684948,0.0183074,-0.168359,0.692029
6752,0.886579,-0.658882,0.342969,-0.669513,0.0189207,-0.180919,0.714898
6753,1.12809,-0.461641,0.290622,-0.838109,0.0195687,-0.190381,0.739209
6754,0.934012,-0.625117,0.15698,-0.764582,0.02024,-0.196587,0.764545
6755,0.611565,0.574147,0.0521044,-0.817092,0.02024,-0.198859,0.7818
6756,1.12058,-0.470116,-0.0589628,-0.880633,0.0216054,-0.198859,0.816554
6757,1.24757,-0.353897,-0.185136,-0.916778,0.022276,-0.194885,0.842335
6758,0.605231,0.568906,-0.257512,-0.781046,0.022276,-0.190381,0.859145
6759,0.753743,0.684269,-0.311841,-0.659189,0.022924,-0.180919,0.883456
6760,1.54049,-0.062909,-0.555605,-0.829063,0.0241067,-0.163515,0.913553
6761,0.947805,0.811864,-0.368864,-0.452565,0.0241067,-0.152921,0.927361
6762,0.874963,0.767185,-0.467008,-0.439693,0.0246214,-0.134865,0.946204
6763,1.21928,-0.364518,-0.78085,-0.507346,0.025452,-0.107251,0.967359
6764,1.35402,0.97599,-0.177687,-0.125978,0.025452,-0.0921786,0.976061
6765,1.44229,0.991068,-0.1095,-0.0761176,0.0257547,-0.0682786,0.986567
6766,0.925074,-0.60742,-0.783352,-0.131912,0.026108,-0.0346586,0.995561
6767,0.529675,-0.863603,-0.504172,0.000860334,0.0261534,-0.00870199,0.998401
6768,0.845087,-0.653318,-0.746429,0.126569,0.104317,0.017404,0.992709
6769,0.698199,0.650189,-0.756123,0.0743754,0.104139,0.0346586,0.990444
6770,0.763752,-0.691126,-0.654976,0.305536,0.10308,0.0682786,0.981505
6771,0.778896,-0.670268,-0.630137,0.392005,0.101955,0.0921786,0.971055
6772,1.12032,0.914042,-0.378357,0.146192,0.101272,0.107251,0.962381
6773,0.842749,-0.602981,-0.561434,0.56675,0.098784,0.134865,0.941355
6774,0.73006,0.707718,-0.504229,0.494862,0.0978186,0.147171,0.929087
6775,0.237761,-0.94212,-0.130924,0.308657,0.0945753,0.168359,0.901685
